iter	Passed	Remaining
776	26554	7621
777	26583	7585
778	26612	7549
779	26641	7514
780	26671	7478
781	26700	7443
782	26731	7408
783	26760	7372
784	26790	7337
785	26823	7303
786	26856	7268
787	26888	7233
788	26918	7198
789	26948	7163
790	26979	7128
791	27009	7093
792	27038	7057
793	27070	7023
794	27103	6989
795	27134	6953
796	27165	6919
797	27196	6884
798	27225	6848
799	27254	6813
800	27283	6778
801	27322	6745
802	27357	6711
803	27389	6676
804	27420	6642
805	27451	6607
806	27480	6572
807	27509	6536
808	27539	6501
809	27569	6466
810	27599	6432
811	27630	6397
812	27659	6361
813	27689	6326
814	27722	6292
815	27750	6257
816	27781	6222
817	27815	6188
818	27848	6154
819	27887	6121
820	27926	6088
821	27965	6055
822	27999	6021
823	28034	5987
824	28073	5955
825	28108	5921
826	28137	5886
827	28166	5851
828	28195	5816
829	28226	5781
830	28257	5746
831	28290	5712
832	28323	5678
833	28356	5644
834	28385	5609
835	28414	5574
836	28446	5539
837	28476	5504
838	28507	5470
839	28538	5435
840	28568	5401
841	28596	5366
842	28625	5331
843	28654	5296
844	28683	5261
845	28713	5226
846	28743	5192
847	28773	5157
848	28802	5122
849	28831	5087
850	28860	5053
851	28889	5018
852	28919	4983
853	28950	4949
854	28984	4915
855	29016	4881
856	29050	4847
857	29080	4812
858	29112	4778
859	29144	4744
860	29175	4710
861	29206	4675
862	29235	4641
863	29263	4606
864	29294	4571
865	29326	4537
866	29359	4503
867	29389	4469
868	29421	4435
869	29449	4400
870	29478	4365
871	29509	4331
872	29540	4297
873	29570	4263
874	29600	4228
875	29630	4194
876	29660	4159
877	29689	4125
878	29719	4091
879	29748	4056
880	29780	4022
881	29811	3988
882	29843	3954
883	29874	3920
884	29904	3885
885	29932	3851
886	29961	3816
887	29990	3782
888	30022	3748
889	30051	3714
890	30084	3680
891	30119	3646
892	30157	3613
893	30185	3579
894	30216	3544
895	30246	3510
896	30277	3476
897	30310	3442
898	30344	3409
899	30380	3375
900	30416	3342
901	30451	3308
902	30491	3275
903	30526	3241
904	30562	3208
905	30598	3174
906	30634	3141
907	30676	3108
908	30714	3074
909	30754	3041
910	30795	3008
911	30839	2975
912	30877	2942
913	30916	2909
914	30960	2876
915	30995	2842
916	31028	2808
917	31064	2774
918	31102	2741
919	31138	2707
920	31187	2675
921	31221	2641
922	31257	2607
923	31300	2574
924	31333	2540
925	31372	2507
926	31410	2473
927	31446	2439
928	31489	2406
929	31531	2373
930	31569	2339
931	31609	2306
932	31645	2272
933	31680	2238
934	31729	2205
935	31763	2171
936	31796	2137
937	31832	2104
938	31871	2070
939	31908	2036
940	31941	2002
941	31980	1969
942	32012	1935
943	32044	1900
944	32084	1867
945	32119	1833
946	32157	1799
947	32199	1766
948	32229	1732
949	32259	1697
950	32305	1664
951	32344	1630
952	32377	1596
953	32409	1562
954	32438	1528
955	32467	1494
956	32496	1460
957	32526	1425
958	32556	1391
959	32591	1357
960	32628	1324
961	32666	1290
962	32703	1256
963	32739	1222
964	32778	1188
965	32817	1155
966	32858	1121
